ID,TAXANR,PRNAVN,PRNAVN1,GNAVN,NAVN,AUTNR,AUTHOR,AUTSTAT,TAXATYPE,SYNONYMNR,GNR,GYLDIG,PREVTAXA
7739,7646,Padus avium ssp. borealis,Padus avium ssp. borealis,Prunus padus ssp. borealis,borealis,4484,(Schübeler) Holub,,S,3937,3937,FALSE,6961
10717,10661,Padus borealis,Padus borealis,Prunus padus ssp. borealis,borealis,4485,(Schübeler) Belozov,,A,3937,3937,FALSE,5325
13553,13524,Prunus borealis,Prunus borealis,Prunus padus ssp. borealis,borealis,4481,Schübeler,,A,3937,3937,FALSE,823
3951,3938,Prunus padus ssp. padus,Prunus padus ssp. padus,Prunus padus ssp. padus,padus,0,,,S,0,3938,TRUE,824
13552,13523,Padus avium ssp. avium,Padus avium ssp. avium,Prunus padus ssp. padus,avium,0,,,S,3938,3938,FALSE,6961
13554,13525,Prunus pensylvanica,Prunus pensylvanica,Prunus pensylvanica,pensylvanica,191,L.f.,,A,0,13525,TRUE,823
9899,9899,Prunus persica,Prunus persica,Prunus persica,persica,2278,(L.) Batsch,,A,0,9899,TRUE,823
9900,9900,Prunus serotina,Prunus serotina,Prunus serotina,serotina,16,Ehrh.,,A,0,9900,TRUE,823
840,827,Prunus spinosa,Prunus spinosa,Prunus spinosa,spinosa,1,L.,,A,0,827,TRUE,823
9901,9901,Prunus virginiana,Prunus virginiana,Prunus virginiana,virginiana,1,L.,,A,0,9901,TRUE,823
4919,4919,Psamma,Psamma,Psamma,Psamma,27,P.Beauv.,,G,0,4919,TRUE,2358
7480,7480,Pseudofumaria,Pseudofumaria,Pseudofumaria,Pseudofumaria,54,Medik.,,G,0,7480,TRUE,17681
17538,17538,Pseudofumaria alba,Pseudofumaria alba,Pseudofumaria alba,alba,5967,(Mill.) Lidén,,A,0,17538,TRUE,7480
17539,17539,Corydalis ochroleuca,Corydalis ochroleuca,Pseudofumaria alba,ochroleuca,5968,W.D.J.Koch nom.illeg.,,A,17538,17538,FALSE,560
581,568,Corydalis lutea,Corydalis lutea,Pseudofumaria lutea,lutea,23,(L.) DC.,,A,7481,7481,FALSE,560
7481,7481,Pseudofumaria lutea,Pseudofumaria lutea,Pseudofumaria lutea,lutea,758,(L.) Borkh.,,A,0,7481,TRUE,7480
7482,7482,Capnoides lutea,Capnoides lutea,Pseudofumaria lutea,lutea,95,(L.) Gaertn.,,A,7481,7481,FALSE,7457
7483,7483,Fumaria lutea,Fumaria lutea,Pseudofumaria lutea,lutea,1,L.,,A,7481,7481,FALSE,569
14353,14324,Pseudolysimachion,Pseudolysimachion,Pseudolysimachion,Pseudolysimachion,66,Opiz,,G,0,14324,TRUE,1775
6835,7004,Pseudolysimachium,Pseudolysimachium,Pseudolysimachium,Pseudolysimachium,66,Opiz,,G,0,7004,TRUE,1775
3848,3835,Pseudorchis,Pseudorchis,Pseudorchis,Pseudorchis,379,Séguier,,G,0,3835,TRUE,2973
2923,2923,Leucorchis albida,Leucorchis albida,Pseudorchis albida,albida,5029,(L.) E.Mey. coll.,,A,3836,3836,FALSE,2922
3847,3834,Gymnadenia albida,Gymnadenia albida,Pseudorchis albida,albida,137,(L.) Rich.,,A,3836,3836,FALSE,2925
3849,3836,Pseudorchis albida,Pseudorchis albida,Pseudorchis albida,albida,5028,(L.) Á.Löve & D.Löve coll.,,A,0,3836,TRUE,3835
6322,6322,Satyrium albidum,Satyrium albidum,Pseudorchis albida,albidum,1,L.,,A,3836,3836,FALSE,6284
6323,6323,Habenaria albida,Habenaria albida,Pseudorchis albida,albida,24,(L.) R.Br.,,A,3836,3836,FALSE,4881
7941,7941,Peristylis albidus,Peristylis albidus,Pseudorchis albida,albidus,1,L.,,A,3836,3836,FALSE,7940
7942,7942,Coeloglossum albidum,Coeloglossum albidum,Pseudorchis albida,albidum,0,,,A,3836,3836,FALSE,2916
7943,7943,Ophrys albida,Ophrys albida,Pseudorchis albida,albida,0,,,A,3836,3836,FALSE,2889
4413,4413,Pseudorchis albida ssp. albida,Pseudorchis albida ssp. albida,Pseudorchis albida ssp. albida,albida,0,,,S,0,4413,TRUE,3836
7938,7938,Leucorchis albida ssp. albida,Leucorchis albida ssp. albida,Pseudorchis albida ssp. albida,albida,0,,,S,4413,4413,FALSE,2923
15079,15079,Pseudorchis albida,Pseudorchis albida,Pseudorchis albida ssp. albida,albida,5026,(L.) Á.Löve & D.Löve s.str.,,A,4413,4413,FALSE,3835
15080,15080,Leucorchis albida,Leucorchis albida,Pseudorchis albida ssp. albida,albida,5027,(L.) E.Mey. s.str.,,A,4413,4413,FALSE,2922
2924,2924,Leucorchis straminea,Leucorchis straminea,Pseudorchis straminea,straminea,5666,(Fernald) Soó,,A,7405,7405,FALSE,2922
3850,3837,Leucorchis albida ssp. straminea,Leucorchis albida ssp. straminea,Pseudorchis straminea,straminea,5667,(Fernald) A. & D.Löve,,S,7405,7405,FALSE,2923
3851,3838,Pseudorchis albida ssp. straminea,Pseudorchis albida ssp. straminea,Pseudorchis straminea,straminea,5667,(Fernald) A. & D.Löve,,S,7405,7405,FALSE,3836
6324,6324,Habenaria straminea,Habenaria straminea,Pseudorchis straminea,straminea,159,Fernald,,A,7405,7405,FALSE,4881
6325,6325,Habenaria albida var. straminea,Habenaria albida var. straminea,Pseudorchis straminea,straminea,1859,(Fernald) Morris & Eames,,V,7405,7405,FALSE,6323
7472,7405,Pseudorchis straminea,Pseudorchis straminea,Pseudorchis straminea,straminea,5666,(Fernald) Soó,,A,0,7405,TRUE,3835
10594,10882,Leucorchis albida var. subalpina,Leucorchis albida var. subalpina,Pseudorchis straminea,subalpina,3398,(Neuman) Hyl.,,V,7405,7405,FALSE,2923
11466,11406,Pseudoroegneria,Pseudoroegneria,Pseudoroegneria,Pseudoroegneria,3644,(Nevski) Á.Löve,,G,0,11406,TRUE,2358
